store_id,store_name,score,area,genre,review_count,daytime_price,daytime_price_low,daytime_price_high,nighttime_price,nighttime_price_low,nighttime_price_high,photo_count,like_count,bookmark_count
1,地どり居酒屋　個室宴会　キンクラ 大山店,3.24,東京都内,sweets,46,-,,,"￥3,000～￥3,999",3000,3999,317,11,9
2,オステリア ラストリカート,3.45,東京都内,sweets,213,"￥4,000～￥4,999",4000.0,4999.0,"￥6,000～￥7,999",6000,7999,192,5,26
3,沖縄料理なんくるないさー ヨドバシAkiba店,3.08,東京都内,sweets,17,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,148,14,28
4,PRIME TOKYO 新宿野村ビル49F,3.33,東京都内,sweets,133,-,,,"￥5,000～￥5,999",5000,5999,166,1,7
5,魚がし,3.55,東京都内,sweets,140,-,,,"￥10,000～￥14,999",10000,14999,227,5,3
6,関西風居酒屋 ええやん！！ 浅草橋本店,3.05,東京都内,sweets,4,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,40,15,3
7,ALA,3.37,東京都内,sweets,166,"￥1,000～￥1,999",1000.0,1999.0,"￥6,000～￥7,999",6000,7999,230,3,11
8,シュラスコ&シカゴピザ食べ放題 個室肉バル Mission 新宿西口店,3.04,東京都内,sweets,86,～￥999,1.0,999.0,"￥2,000～￥2,999",2000,2999,107,24,6
9,Mon an 新丸ビル,3.44,東京都内,sweets,111,"￥2,000～￥2,999",2000.0,2999.0,"￥8,000～￥9,999",8000,9999,91,9,16
10,原始焼 まる秀,3.27,東京都内,sweets,56,-,,,"￥4,000～￥4,999",4000,4999,219,17,11
11,CAFE A LA TIENNE,3.38,東京都内,sweets,165,"￥1,000～￥1,999",1000.0,1999.0,"￥1,000～￥1,999",1000,1999,63,31,23
12,炭火×薪火×レストラン RIDE 品川 天王洲店,3.47,東京都内,sweets,368,"￥1,000～￥1,999",1000.0,1999.0,"￥5,000～￥5,999",5000,5999,209,15,54
13,鶏龍軒,3.42,東京都内,sweets,67,～￥999,1.0,999.0,"￥1,000～￥1,999",1000,1999,183,21,19
14,まんまるどり 芝浦店,3.21,東京都内,sweets,67,-,,,"￥3,000～￥3,999",3000,3999,167,16,10
15,銀座 桃の木,3.44,東京都内,sweets,66,"￥5,000～￥5,999",5000.0,5999.0,"￥8,000～￥9,999",8000,9999,306,32,131
16,伊樽飯酒場バルバル 錦糸町北口店,3.46,東京都内,sweets,314,"￥2,000～￥2,999",2000.0,2999.0,"￥4,000～￥4,999",4000,4999,124,6,11
17,えんらい,3.33,東京都内,sweets,63,-,,,"￥3,000～￥3,999",3000,3999,176,4,8
18,UMINCHU,3.06,東京都内,sweets,11,-,,,"￥3,000～￥3,999",3000,3999,52,28,8
19,嘉楽料理館,3.24,東京都内,sweets,50,～￥999,1.0,999.0,"￥1,000～￥1,999",1000,1999,160,11,31
20,大衆和牛酒場 コンロ家 飯田橋店,3.24,東京都内,sweets,123,-,,,"￥4,000～￥4,999",4000,4999,160,9,18
21,囲炉裏とおばんざい101,3.37,東京都内,sweets,81,"￥1,000～￥1,999",1000.0,1999.0,"￥6,000～￥7,999",6000,7999,177,2,16
22,酒亭赤坂かねさく,3.24,東京都内,sweets,86,-,,,"￥6,000～￥7,999",6000,7999,229,7,15
23,和牛焼肉 築地牛武 練馬店,3.31,東京都内,sweets,49,-,,,"￥3,000～￥3,999",3000,3999,223,16,36
24,焼肉かなう,3.33,東京都内,sweets,289,-,,,"￥8,000～￥9,999",8000,9999,325,17,19
25,神田まぐろ漁港,3.33,東京都内,sweets,183,～￥999,1.0,999.0,"￥2,000～￥2,999",2000,2999,220,5,7
26,ラメンサ,3.3,東京都内,sweets,71,"￥1,000～￥1,999",1000.0,1999.0,"￥6,000～￥7,999",6000,7999,93,28,15
27,個室と和食 和菜美 八重洲店,3.13,東京都内,sweets,72,-,,,"￥3,000～￥3,999",3000,3999,315,55,62
28,鮨利﨑 青山,3.61,東京都内,sweets,311,-,,,"￥15,000～￥19,999",15000,19999,294,3,24
29,大衆酒場 もつ焼き 次世代 渋谷店,3.18,東京都内,sweets,61,"￥2,000～￥2,999",2000.0,2999.0,"￥2,000～￥2,999",2000,2999,246,19,29
30,てんぐ大ホール 水道橋東口店,3.01,東京都内,sweets,3,-,,,"￥2,000～￥2,999",2000,2999,26,2,1
31,炭焼き 銀座まつもと,3.44,東京都内,sweets,208,"￥1,000～￥1,999",1000.0,1999.0,"￥6,000～￥7,999",6000,7999,100,5,21
32,庄や 新小平店,3.02,東京都内,sweets,12,-,,,"￥3,000～￥3,999",3000,3999,63,108,1
33,ヤミイチ 高円寺,3.2,東京都内,sweets,99,"￥3,000～￥3,999",3000.0,3999.0,"￥4,000～￥4,999",4000,4999,337,9,15
34,トラットリアイタリア 銀座店,3.4,東京都内,sweets,119,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,240,29,19
35,ジビエ×ビストロ Lave,3.28,東京都内,sweets,89,-,,,"￥6,000～￥7,999",6000,7999,141,0,6
36,シェ シミズ,3.13,東京都内,sweets,29,"￥4,000～￥4,999",4000.0,4999.0,"￥8,000～￥9,999",8000,9999,146,15,12
37,つくね・唐揚げ・レモンサワー 手ごね屋 渋谷店,3.28,東京都内,sweets,93,～￥999,1.0,999.0,"￥2,000～￥2,999",2000,2999,73,0,5
38,くつろぎ・うま酒 かこいや 丸の内二丁目店,3.21,東京都内,sweets,316,"￥1,000～￥1,999",1000.0,1999.0,"￥8,000～￥9,999",8000,9999,100,26,14
39,向島七福すずめの御宿,3.38,東京都内,sweets,87,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,205,0,11
40,日本料理 縁,3.36,東京都内,sweets,71,"￥3,000～￥3,999",3000.0,3999.0,"￥6,000～￥7,999",6000,7999,186,29,64
41,源源飯店,3.17,東京都内,sweets,20,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,119,40,11
42,黒毛和牛焼肉 にくじろう 門前仲町店,3.31,東京都内,sweets,59,"￥2,000～￥2,999",2000.0,2999.0,"￥5,000～￥5,999",5000,5999,130,8,10
43,鮮屋,3.41,東京都内,sweets,253,-,,,"￥5,000～￥5,999",5000,5999,150,4,5
44,牛山道 中野店,3.08,東京都内,sweets,41,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,165,4,12
45,てけてけ 王子北口駅前店,3.02,東京都内,sweets,46,～￥999,1.0,999.0,"￥2,000～￥2,999",2000,2999,114,23,11
46,炬屋 EISHIN,3.3,東京都内,sweets,89,-,,,"￥6,000～￥7,999",6000,7999,227,9,14
47,赤羽 ブタマミレ,3.39,東京都内,sweets,109,-,,,"￥3,000～￥3,999",3000,3999,164,9,24
48,鳥ごころ 新宿店,3.02,東京都内,sweets,15,"￥3,000～￥3,999",3000.0,3999.0,"￥3,000～￥3,999",3000,3999,96,7,0
49,たん焼き 木むら,3.45,東京都内,sweets,245,-,,,"￥5,000～￥5,999",5000,5999,138,5,5
50,くずしわしょく 香季庵 日本橋店,3.44,東京都内,sweets,179,～￥999,1.0,999.0,"￥5,000～￥5,999",5000,5999,174,65,42
51,磯べゑ,3.47,東京都内,sweets,257,-,,,"￥5,000～￥5,999",5000,5999,163,11,26
52,居酒屋 楽が気 新橋本店,3.37,東京都内,sweets,188,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,95,9,26
53,しゃぶしゃぶ・すき焼き・ステーキ兜 銀座店,3.02,東京都内,sweets,30,-,,,"￥10,000～￥14,999",10000,14999,168,25,4
54,大森ホルモン まるみち,3.23,東京都内,sweets,104,-,,,"￥4,000～￥4,999",4000,4999,368,36,62
55,もつ千 赤坂本店,3.48,東京都内,sweets,553,-,,,"￥3,000～￥3,999",3000,3999,103,2,20
56,鮨 博多まつもと 八重洲店,3.44,東京都内,sweets,201,"￥6,000～￥7,999",6000.0,7999.0,"￥15,000～￥19,999",15000,19999,468,4,13
57,日暮里 串まる,3.4,東京都内,sweets,114,-,,,"￥2,000～￥2,999",2000,2999,172,53,26
58,本格焼鳥 五反田富士屋,3.38,東京都内,sweets,203,-,,,"￥3,000～￥3,999",3000,3999,299,21,56
59,赤坂 鮨 ふくなが,3.59,東京都内,sweets,245,-,,,"￥15,000～￥19,999",15000,19999,658,17,48
60,居酒屋 晴れ舞亭 水道橋駅前店,3.25,東京都内,sweets,81,"￥1,000～￥1,999",1000.0,1999.0,"￥3,000～￥3,999",3000,3999,235,9,28
61,酒と肴 離れ庵 東京駅店,3.47,東京都内,sweets,226,"￥1,000～￥1,999",1000.0,1999.0,"￥5,000～￥5,999",5000,5999,109,24,13
62,酔処さんぽや,3.0,東京都内,sweets,1,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,33,0,0
63,焼肉 闘牛門,3.42,東京都内,sweets,141,"￥1,000～￥1,999",1000.0,1999.0,"￥5,000～￥5,999",5000,5999,255,6,9
64,炉ばた情緒 かっこ 荻窪北口店,3.01,東京都内,sweets,32,-,,,"￥3,000～￥3,999",3000,3999,126,19,1
65,十十六,3.37,東京都内,sweets,97,"￥2,000～￥2,999",2000.0,2999.0,"￥8,000～￥9,999",8000,9999,179,3,4
66,Cafe Habana TOKYO,3.46,東京都内,sweets,242,"￥1,000～￥1,999",1000.0,1999.0,"￥2,000～￥2,999",2000,2999,133,26,21
67,Bar和ごころ赤坂,3.53,東京都内,sweets,135,-,,,"￥4,000～￥4,999",4000,4999,226,9,28
68,元祖やきとり串八珍 浜松町2号店,3.04,東京都内,sweets,35,-,,,"￥2,000～￥2,999",2000,2999,300,2,5
69,メソン・セルバンテス,3.45,東京都内,sweets,200,"￥1,000～￥1,999",1000.0,1999.0,"￥5,000～￥5,999",5000,5999,116,10,8
70,大衆酒場 手羽だるま 旗の台店,3.04,東京都内,sweets,9,-,,,"￥2,000～￥2,999",2000,2999,100,17,11
71,焼肉うしごろ 銀座店,3.71,東京都内,sweets,654,"￥8,000～￥9,999",8000.0,9999.0,"￥10,000～￥14,999",10000,14999,421,32,37
72,あやせ鶏 市ヶ谷店,3.08,東京都内,sweets,20,-,,,"￥3,000～￥3,999",3000,3999,44,30,5
73,呑兵衛 大森店,3.03,東京都内,sweets,23,-,,,"￥3,000～￥3,999",3000,3999,137,14,2
74,個室和食 東山 東京駅前店,3.44,東京都内,sweets,173,"￥6,000～￥7,999",6000.0,7999.0,"￥8,000～￥9,999",8000,9999,167,3,22
75,2100K冒鴨燙肚,3.04,東京都内,sweets,21,"￥1,000～￥1,999",1000.0,1999.0,"￥2,000～￥2,999",2000,2999,40,3,5
