,Unnamed: 0,store_id,store_name,score,area,review_count,daytime_price,daytime_price_low,daytime_price_high,nighttime_price,nighttime_price_low,nighttime_price_high,photo_count,like_count,bookmark_count
79,79,80,ペスケリア・ラ・ルーナ・ロッサ,3.45,東京都内,187,"￥1,000～￥1,999",1000.0,1999.0,"￥8,000～￥9,999",8000,9999,153,70,26
80,80,81,BOMBAY SIZZLERS,3.47,東京都内,160,"￥1,000～￥1,999",1000.0,1999.0,"￥3,000～￥3,999",3000,3999,111,10,12
81,81,82,カフェ&グリル シズルガズル 渋谷ヒカリエ店,3.24,東京都内,302,"￥1,000～￥1,999",1000.0,1999.0,"￥3,000～￥3,999",3000,3999,77,1,6
82,82,83,鳥楽酒場 新宿店,3.02,東京都内,8,-,,,"￥2,000～￥2,999",2000,2999,43,8,2
83,83,84,くつろぎ・うま酒 かこいや 丸の内オアゾ店,3.14,東京都内,214,"￥1,000～￥1,999",1000.0,1999.0,"￥8,000～￥9,999",8000,9999,87,2,3
84,84,85,岩桧葉,3.27,東京都内,37,-,,,"￥15,000～￥19,999",15000,19999,454,32,45
85,85,86,鮨 麻葉,3.51,東京都内,58,-,,,"￥30,000～￥39,999",30000,39999,316,12,60
86,86,87,ブラチェリア バーヴァ,3.42,東京都内,178,"￥1,000～￥1,999",1000.0,1999.0,"￥5,000～￥5,999",5000,5999,105,7,9
87,87,88,Anchor Point,3.48,東京都内,351,"￥1,000～￥1,999",1000.0,1999.0,"￥6,000～￥7,999",6000,7999,117,7,18
88,88,89,たくあん・牡丹亭,3.43,東京都内,209,"￥1,000～￥1,999",1000.0,1999.0,"￥6,000～￥7,999",6000,7999,149,43,86
89,89,90,居酒屋餃子酒場,3.14,東京都内,43,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,136,55,11
90,90,91,魚魯魚魯 東陽町店,3.38,東京都内,138,～￥999,1.0,999.0,"￥4,000～￥4,999",4000,4999,118,34,17
91,91,92,丈,3.2,東京都内,12,-,,,"￥15,000～￥19,999",15000,19999,304,21,43
92,92,93,お好み焼・鉄板焼 88 パチパチ 有楽町本店,3.48,東京都内,533,"￥2,000～￥2,999",2000.0,2999.0,"￥6,000～￥7,999",6000,7999,138,11,20
93,93,94,Yd'or,3.08,東京都内,12,-,,,"￥20,000～￥29,999",20000,29999,375,9,25
94,94,95,炭火焼き鳥 完全個室居酒屋 はなび 上野店,3.01,東京都内,114,"￥2,000～￥2,999",2000.0,2999.0,"￥3,000～￥3,999",3000,3999,222,9,7
95,95,96,近江牛もりしま 寛閑観ここ滋賀店,3.38,東京都内,51,"￥2,000～￥2,999",2000.0,2999.0,"￥6,000～￥7,999",6000,7999,274,4,17
96,96,97,真八酒場,3.06,東京都内,8,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,63,6,7
97,97,98,地鶏焼き鳥と築地海鮮 和み屋 新橋本店,3.08,東京都内,54,"￥2,000～￥2,999",2000.0,2999.0,"￥4,000～￥4,999",4000,4999,226,22,39
98,98,99,TARO Azabujuban,3.25,東京都内,27,-,,,"￥10,000～￥14,999",10000,14999,296,8,30
99,99,100,九州個室居酒屋 博多道場 上野御徒町店,3.03,東京都内,73,"￥3,000～￥3,999",3000.0,3999.0,"￥3,000～￥3,999",3000,3999,88,39,1
100,100,101,加藤牛肉店 小川のうに,3.32,東京都内,54,"￥2,000～￥2,999",2000.0,2999.0,"￥20,000～￥29,999",20000,29999,248,5,13
101,101,102,鳥佳 溜池山王店,3.18,東京都内,58,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,89,166,31
102,102,103,UZU 本店,3.31,東京都内,84,-,,,"￥4,000～￥4,999",4000,4999,127,13,18
103,103,104,虎連坊 大手町店,3.33,東京都内,151,"￥1,000～￥1,999",1000.0,1999.0,"￥5,000～￥5,999",5000,5999,70,20,17
104,104,105,The Kitchen Salvatore Cuomo GINZA,3.48,東京都内,436,"￥3,000～￥3,999",3000.0,3999.0,"￥6,000～￥7,999",6000,7999,108,1,8
105,105,106,焼肉 うし雅,3.4,東京都内,130,"￥1,000～￥1,999",1000.0,1999.0,"￥6,000～￥7,999",6000,7999,148,12,26
106,106,107,natuRe tokyo,3.42,東京都内,149,"￥4,000～￥4,999",4000.0,4999.0,"￥8,000～￥9,999",8000,9999,205,3,15
107,107,108,リオ・ブルーイング・コー ビストロアンドガーデン 東京ミッドタウン,3.47,東京都内,560,"￥1,000～￥1,999",1000.0,1999.0,"￥5,000～￥5,999",5000,5999,123,24,32
108,108,109,一楽,3.02,東京都内,47,"￥2,000～￥2,999",2000.0,2999.0,"￥3,000～￥3,999",3000,3999,61,42,34
109,109,110,メデューサ,3.44,東京都内,550,-,,,"￥5,000～￥5,999",5000,5999,90,11,55
110,110,111,幻の和牛と豊洲目利き鮮魚 モルゲン 池袋西口店,3.38,東京都内,201,-,,,"￥5,000～￥5,999",5000,5999,227,29,55
111,111,112,やきとり 虜 西新宿店,3.02,東京都内,113,"￥1,000～￥1,999",1000.0,1999.0,"￥2,000～￥2,999",2000,2999,243,12,36
112,112,113,遊山 新宿店,3.02,東京都内,69,"￥4,000～￥4,999",4000.0,4999.0,"￥4,000～￥4,999",4000,4999,114,48,10
113,113,114,恵比寿 逆月,3.36,東京都内,79,"￥1,000～￥1,999",1000.0,1999.0,"￥6,000～￥7,999",6000,7999,118,3,12
114,114,115,ristorante della collina,3.55,東京都内,626,"￥3,000～￥3,999",3000.0,3999.0,"￥8,000～￥9,999",8000,9999,143,9,10
115,115,116,京都焼肉 tendan+ GEMS大門店,3.38,東京都内,108,"￥1,000～￥1,999",1000.0,1999.0,"￥6,000～￥7,999",6000,7999,145,2,23
116,116,117,ビストロ エガリテ,3.4,東京都内,93,"￥2,000～￥2,999",2000.0,2999.0,"￥6,000～￥7,999",6000,7999,214,4,107
117,117,118,炭火焼鳥 一番鳥,3.02,東京都内,49,"￥2,000～￥2,999",2000.0,2999.0,"￥3,000～￥3,999",3000,3999,50,95,3
118,118,119,ESOLA  新宿店,3.14,東京都内,191,"￥2,000～￥2,999",2000.0,2999.0,"￥3,000～￥3,999",3000,3999,156,7,4
119,119,120,鮨 龍馬,3.36,東京都内,107,"￥20,000～￥29,999",20000.0,29999.0,"￥20,000～￥29,999",20000,29999,557,51,102
120,120,121,よりどり 新橋本店,3.01,東京都内,7,-,,,"￥3,000～￥3,999",3000,3999,11,6,3
121,121,122,Bar Espanol LA BODEGA 銀座店,3.43,東京都内,379,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,122,5,24
122,122,123,銀座すし嘉 はなれ,3.33,東京都内,87,"￥10,000～￥14,999",10000.0,14999.0,"￥20,000～￥29,999",20000,29999,425,46,82
123,123,124,有楽町かきだ,3.43,東京都内,375,"￥10,000～￥14,999",10000.0,14999.0,"￥10,000～￥14,999",10000,14999,236,3,31
124,124,125,百味軒,3.16,東京都内,25,～￥999,1.0,999.0,"￥2,000～￥2,999",2000,2999,138,53,16
125,125,126,麹蔵 有楽町晴海通り本店,3.4,東京都内,385,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,81,16,8
126,126,127,四十八漁場 山王パークタワー店,3.09,東京都内,96,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,117,22,7
127,127,128,かんどころ,3.25,東京都内,120,-,,,"￥4,000～￥4,999",4000,4999,131,5,6
128,128,129,SHARI赤坂 / 鉄板焼みたき赤坂,3.21,東京都内,34,-,,,"￥10,000～￥14,999",10000,14999,215,4,11
129,129,130,ahill ginza,3.56,東京都内,652,"￥4,000～￥4,999",4000.0,4999.0,"￥10,000～￥14,999",10000,14999,195,5,4
130,130,131,個室居酒屋 雪の村 新橋店,3.01,東京都内,9,"￥4,000～￥4,999",4000.0,4999.0,"￥4,000～￥4,999",4000,4999,24,14,1
131,131,132,シュマッツ 日比谷グルメゾン,3.39,東京都内,77,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,137,6,8
132,132,133,えびと馬肉と日本酒の居酒屋 池袋栄町横町店,3.18,東京都内,83,-,,,"￥4,000～￥4,999",4000,4999,163,8,7
133,133,134,旬の鮮魚と個室 楽の宴,3.05,東京都内,51,～￥999,1.0,999.0,"￥3,000～￥3,999",3000,3999,97,107,37
134,134,135,うしごろ 貫 五反田店,3.55,東京都内,502,-,,,"￥6,000～￥7,999",6000,7999,123,3,11
135,135,136,個室会席 北大路 新橋茶寮 汐留シティセンター店,3.18,東京都内,117,"￥3,000～￥3,999",3000.0,3999.0,"￥10,000～￥14,999",10000,14999,160,6,6
136,136,137,神戸牛 日本橋イタダキ,3.6,東京都内,329,-,,,"￥8,000～￥9,999",8000,9999,260,15,9
137,137,138,翠雲 上野店,3.53,東京都内,277,"￥3,000～￥3,999",3000.0,3999.0,"￥3,000～￥3,999",3000,3999,123,5,14
138,138,139,和食 いぶり別邸 新橋店,3.33,東京都内,205,-,,,"￥6,000～￥7,999",6000,7999,196,12,24
139,139,140,大衆居酒屋 恵比寿商店,3.08,東京都内,12,-,,,"￥3,000～￥3,999",3000,3999,108,50,19
140,140,141,マロリーポークステーキ 六本木店,3.09,東京都内,55,"￥1,000～￥1,999",1000.0,1999.0,"￥2,000～￥2,999",2000,2999,85,8,27
141,141,142,越後酒房八海山 神楽坂店,3.13,東京都内,189,-,,,"￥3,000～￥3,999",3000,3999,451,40,78
142,142,143,恵比寿もんじゃ 梵天 恵比寿本店,3.01,東京都内,6,"￥5,000～￥5,999",5000.0,5999.0,"￥5,000～￥5,999",5000,5999,22,14,1
143,143,144,チョンギワ新館,3.47,東京都内,346,"￥3,000～￥3,999",3000.0,3999.0,"￥8,000～￥9,999",8000,9999,216,4,11
144,144,145,La Brianza,3.77,東京都内,1933,"￥4,000～￥4,999",4000.0,4999.0,"￥10,000～￥14,999",10000,14999,248,32,87
145,145,146,雲々堂 有楽町店,3.01,東京都内,15,"￥1,000～￥1,999",1000.0,1999.0,"￥3,000～￥3,999",3000,3999,29,51,2
146,146,147,四十八漁場 内幸町店,3.08,東京都内,84,～￥999,1.0,999.0,"￥4,000～￥4,999",4000,4999,57,0,0
147,147,148,暁タップス 銀座,3.33,東京都内,107,"￥1,000～￥1,999",1000.0,1999.0,"￥4,000～￥4,999",4000,4999,154,9,31
148,148,149,二升五合,3.02,東京都内,18,"￥3,000～￥3,999",3000.0,3999.0,"￥4,000～￥4,999",4000,4999,109,57,55
149,149,150,和風個室居酒屋 灯 有楽町日比谷店,3.12,東京都内,65,"￥3,000～￥3,999",3000.0,3999.0,"￥4,000～￥4,999",4000,4999,187,9,25
150,150,151,新宿かっぱ,3.21,東京都内,179,"￥2,000～￥2,999",2000.0,2999.0,"￥2,000～￥2,999",2000,2999,84,2,7
151,151,152,和牛焼肉 土古里 新宿NOWAビル店,3.29,東京都内,452,"￥1,000～￥1,999",1000.0,1999.0,"￥6,000～￥7,999",6000,7999,105,7,10
