store_id,store_name,score,area,review_count,daytime_price,daytime_price_low,daytime_price_high,nighttime_price,nighttime_price_low,nighttime_price_high,photo_count,like_count,bookmark_count
00000152,ブラッスリー セント・ベルナルデュス 神田,3.43,東京都内,309,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,111,8,34
00000153,ワイン食堂 ゴッチス,3.45,東京都内,245,-,,,"￥5,000～￥5,999",5000,5999,123,4,13
00000154,御曹司 松六家,3.52,東京都内,247,"￥4,000～￥4,999",4000,4999,"￥15,000～￥19,999",15000,19999,109,7,9
00000155,ワインビストロ 柴田屋酒店本店2F,3.34,東京都内,52,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,138,7,18
00000156,和牛焼肉 びやんど 芝浦,3.22,東京都内,54,～￥999,,,"￥3,000～￥3,999",3000,3999,211,8,13
00000157,慈雨,3.08,東京都内,13,-,,,"￥4,000～￥4,999",4000,4999,92,43,7
00000158,ダイナミックキッチン＆バー 響  新宿サザンタワー店,3.36,東京都内,407,"￥1,000～￥1,999",1000,1999,"￥6,000～￥7,999",6000,7999,84,2,6
00000159,ザ バー カサブランカ ギンザ,3.14,東京都内,36,-,,,"￥5,000～￥5,999",5000,5999,103,44,74
00000160,Wine House Minami Aoyama,3.54,東京都内,200,-,,,"￥8,000～￥9,999",8000,9999,198,1,25
00000161,すし土風炉 六本木店,3.16,東京都内,46,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,169,5,24
00000162,浅草 ASA虎,3.65,東京都内,413,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,309,58,56
00000163,大衆酒場 やるきホルモン 笹塚店,3.12,東京都内,19,-,,,"￥2,000～￥2,999",2000,2999,128,6,10
00000164,マルゴ 四谷,3.45,東京都内,232,"￥1,000～￥1,999",1000,1999,"￥5,000～￥5,999",5000,5999,124,18,10
00000165,焼売のジョー 町田2号店,3.04,東京都内,21,-,,,"￥2,000～￥2,999",2000,2999,81,38,15
00000166,大衆居酒屋 とりいちず 水道橋店,3.02,東京都内,64,"￥1,000～￥1,999",1000,1999,"￥2,000～￥2,999",2000,2999,73,13,6
00000167,若どり屋 神田淡路町店,3.31,東京都内,60,-,,,"￥2,000～￥2,999",2000,2999,154,1,6
00000168,魚吉 東京店,3.16,東京都内,72,～￥999,,,"￥3,000～￥3,999",3000,3999,310,13,23
00000169,炉端とおでん 呼炉凪来 池袋店,3.07,東京都内,159,-,,,"￥3,000～￥3,999",3000,3999,65,0,5
00000170,兜 中目黒 別邸,3.31,東京都内,115,"￥1,000～￥1,999",1000,1999,"￥5,000～￥5,999",5000,5999,89,0,1
00000171,ヤキニクカン 東中野店,3.24,東京都内,58,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,135,8,11
00000172,炭火焼き一番酒場,3.02,東京都内,9,-,,,"￥2,000～￥2,999",2000,2999,65,4,6
00000173,個室居酒屋 茨城の恵み 水戸屋 品川店,3.12,東京都内,72,"￥3,000～￥3,999",3000,3999,"￥3,000～￥3,999",3000,3999,245,12,39
00000174,Dining Bar GINZA 1986,3.16,東京都内,27,-,,,"￥6,000～￥7,999",6000,7999,59,19,2
00000175,熟成和牛焼肉エイジング・ビーフ ワテラス神田秋葉原店,3.44,東京都内,459,"￥1,000～￥1,999",1000,1999,"￥6,000～￥7,999",6000,7999,191,0,8
00000176,Franky Hotel,3.41,東京都内,218,"￥1,000～￥1,999",1000,1999,"￥5,000～￥5,999",5000,5999,110,34,56
00000177,カンティーナ ヴィニエトゥッティ,3.36,東京都内,63,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,161,36,46
00000178,俺の焼肉 蒲田,3.46,東京都内,367,"￥3,000～￥3,999",3000,3999,"￥5,000～￥5,999",5000,5999,134,3,7
00000179,ワイン食堂ジョイーレ,3.46,東京都内,311,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,120,2,7
00000180,中華料理 蜀香園 西新宿,3.14,東京都内,47,～￥999,,,"￥2,000～￥2,999",2000,2999,135,41,17
00000181,華龍飯店 神保町,3.24,東京都内,50,～￥999,,,"￥3,000～￥3,999",3000,3999,184,147,18
00000182,銀座 海味,3.48,東京都内,74,"￥15,000～￥19,999",15000,19999,"￥20,000～￥29,999",20000,29999,652,47,70
00000183,LA TAVOLA DI ADORO,3.40,東京都内,102,"￥2,000～￥2,999",2000,2999,"￥6,000～￥7,999",6000,7999,241,9,38
00000184,魚河岸素材厨房 魚HIDE,3.33,東京都内,103,-,,,"￥4,000～￥4,999",4000,4999,170,2,2
00000185,肉バル KACCHAN,3.43,東京都内,328,-,,,"￥4,000～￥4,999",4000,4999,147,2,17
00000186,Pizza & Craft Beer Gufo,3.36,東京都内,52,"￥2,000～￥2,999",2000,2999,"￥4,000～￥4,999",4000,4999,113,6,10
00000187,完全個室和ダイニング 雫 六本木店,3.06,東京都内,50,-,,,"￥3,000～￥3,999",3000,3999,209,37,13
00000188,九州 熱中屋 恵比寿 LIVE,3.04,東京都内,80,-,,,"￥3,000～￥3,999",3000,3999,62,11,8
00000189,酔天宮,3.09,東京都内,23,～￥999,,,"￥3,000～￥3,999",3000,3999,42,72,1
00000190,全席個室居酒屋 匠 赤坂見附店,3.06,東京都内,79,-,,,"￥2,000～￥2,999",2000,2999,196,63,71
00000191,元氣七輪焼肉 牛繁 鷺宮店,3.01,東京都内,13,"￥1,000～￥1,999",1000,1999,"￥3,000～￥3,999",3000,3999,37,6,0
00000192,伊豆の旬 やんも 丸の内店,3.59,東京都内,463,"￥1,000～￥1,999",1000,1999,"￥10,000～￥14,999",10000,14999,139,7,15
00000193,美味閣,3.05,東京都内,48,～￥999,,,"￥3,000～￥3,999",3000,3999,100,33,13
00000194,サカナヤ オアジ 新橋店,3.37,東京都内,137,-,,,"￥2,000～￥2,999",2000,2999,121,6,14
00000195,八丁堀肉酒場 てっつい,3.12,東京都内,17,-,,,"￥4,000～￥4,999",4000,4999,57,39,1
00000196,中国料理 礼華 四君子草,3.71,東京都内,360,"￥2,000～￥2,999",2000,2999,"￥10,000～￥14,999",10000,14999,343,9,15
00000197,レモンサワーと串揚げ 十村 水道橋店,3.02,東京都内,10,"￥1,000～￥1,999",1000,1999,"￥2,000～￥2,999",2000,2999,111,18,7
