store_id,store_name,score,area,review_count,daytime_price,daytime_price_low,daytime_price_high,nighttime_price,nighttime_price_low,nighttime_price_high,photo_count,like_count,bookmark_count
00000183,ザ・ロイヤルアジアンキッチンダイヤモンド 汐留店,3.12,東京都内,23,"￥1,000～￥1,999",1000,1999,"￥3,000～￥3,999",3000,3999,145,18,5
00000184,バル&キッチン カパイ 烏森通り店,3.16,東京都内,21,-,,,"￥2,000～￥2,999",2000,2999,61,24,6
00000185,ジンギスカン TORICO,3.14,東京都内,29,-,,,"￥4,000～￥4,999",4000,4999,396,17,59
00000186,焼き鳥 海鮮 ジビエ 居酒屋 丸ちゃん 錦糸町店,3.02,東京都内,12,"￥1,000～￥1,999",1000,1999,"￥3,000～￥3,999",3000,3999,49,18,1
00000187,和食居酒屋 酔蔵,3.02,東京都内,7,"￥2,000～￥2,999",2000,2999,"￥3,000～￥3,999",3000,3999,41,1,0
00000188,韓国料理 水刺齋 高島屋タイムズスクエア店,3.46,東京都内,355,"￥1,000～￥1,999",1000,1999,"￥2,000～￥2,999",2000,2999,205,0,3
00000189,寿司と炉端 すし山 新宿,3.31,東京都内,174,"￥4,000～￥4,999",4000,4999,"￥6,000～￥7,999",6000,7999,256,6,10
00000190,焼肉 ホルモン 牛繁 上野広小路,3.04,東京都内,45,"￥1,000～￥1,999",1000,1999,"￥3,000～￥3,999",3000,3999,122,59,5
00000191,焼鳥今井,3.70,東京都内,597,-,,,"￥10,000～￥14,999",10000,14999,256,17,6
00000192,お肉の食べ放題専門店 個室 グリル＆バル 新宿本店,3.01,東京都内,27,～￥999,,,"￥2,000～￥2,999",2000,2999,74,60,2
00000193,瓢嘻 新橋店,3.26,東京都内,215,"￥5,000～￥5,999",5000,5999,"￥10,000～￥14,999",10000,14999,366,13,37
00000194,焼肉牛宮城 別邸,3.55,東京都内,578,"￥4,000～￥4,999",4000,4999,"￥10,000～￥14,999",10000,14999,206,3,64
00000195,THE KINTAN STEAK,3.50,東京都内,704,"￥1,000～￥1,999",1000,1999,"￥8,000～￥9,999",8000,9999,202,18,12
00000196,のぼせもん 赤坂店,3.05,東京都内,50,～￥999,,,"￥4,000～￥4,999",4000,4999,161,94,18
00000197,ニクサカナバル Meat Meets Fish,3.27,東京都内,28,"￥1,000～￥1,999",1000,1999,"￥4,000～￥4,999",4000,4999,45,15,27
00000198,銀座 秋田県産比内地鶏専門店 美郷錦,3.02,東京都内,112,"￥2,000～￥2,999",2000,2999,"￥3,000～￥3,999",3000,3999,73,68,1
